Open Transactions (hashed),Last Block Hash,Proof,Target (0000)
ca3d7a62309891dacd2b62a30ac7f5b542c5c4700cf8d4365be684a059c2bb9d,68da5267793e1fc7bd98d9cc01cf91e38daa67cbbd7b646bcd99b4dc3df93eb1,7205,0000883f53b5e2e7508b5fdcdc7e0437a3833e3ebe29862d8591146480fe579c
128288895968f3da584725f37029f8d1bfc2765fdbedcc26f38726dd5216959c,81a30f4720fbb99c39e2fefe629a6dc212846550ce9e62478c13769b0b7d6d35,122574,000010e9ac475d5749e481383c22f4a1495d04457df4535c8e4e74093056f8e1
32f73ce66a0edb59a7e2aa53a5eec3d20c7860b470b6ea3c961ed071753ce087,d892cd2791c364324b3114b8f14467a4c5cf9039e67e4edf2987d591475cf72c,14464,00009322dd91da8d58b8bfba63fa4bcaefdd4b20e55cce579f3068d5f5e33b82
e8b3686a6733e9cb591393bc76ca641883d3ca07e3556782b0fe9e06dc0b7c63,b8a88df68fa5694cb9e4be29d46041660ad45dd3b938ba9d6f2dbc3e6c14e7f6,4505,000032ffb952c7ff6469196e88b3922dbd799757e1e0b9c66bcc623cb8ab7128
919ddb9d36bdea4540aafa944e246c10455b190a2a3a71a4a3f83d71bda4c644,4b09626bd4f994334e921a879b5f6d53592be5b6c1d4ec67e218bf33aa164150,422,0000d727feebd32a6f5081b520685c55e4131e073219fe917e6d88bca1542873
71b41591d8b10a7ceb81e27fe55f7ec84e87d6dbf62eea2ad875610805c56e03,bd67a2445d5f0ed6ed2fff967a3df359f39ddef785be62720a57f39a5e1eb98f,11764,0000e98be5119e42c4a4f8eefe3e80e1297bf139c610e1dcf36c77d423d8c550
a1497bf109fc2867112392515cd90a206044d9ac03cfaaae9d23bb09ed9fe378,89f74959a5b9b602526f33cf42e3ba1492cce0ffb35cd2d4def54b2fec5622d9,142895,0000a5e1aff19f31c512354212f8fad90ff30cf5be3f57d2ced3eec07a56d915
d454f73ba58bd732909c700c66311e6023e2a4349ad7b5ab3a4d9c4679dcdaf7,96efccf5f7adb19d7989d4632659e3421f2c1cfde9371199fd18dbb93cc0f7d3,11227,0000bae0ba79523a9913fa2d57f4f57fa5734e6dc2458dfdb3be26367aef45d5
d67283cbbfe3a7fcf12fc31880f0298617afca169c3b064c14921646adc710cc,d1575f06d38cb6c5cb788b9328a643396d36c732af69d9602e23b5f347cc271b,1294,0000ba3b5d66f26499b4990f327936b759c96a1773488dd0c78aadfe6a1b809e
a0f683f64c563587a9f7bd9640d5e7f519be42108876dbd72e739d33a1a82202,29b3300c9fb7955d13c47871b811d83eca925592e0fe1be52df6e5cb43c6b873,112542,000026e22e12aef3f69e9923eb7d2959ba9f997997a147b9eb4e8236125a540f
08bc6b8e4881abf30bd0ba9a181439b0bcf6563455a1efeb551dd42bac84eec6,f38486de6f609cae3a581af5e57a8580ed6af7cbef47f01f314d5b7ddcaa14a6,25263,000020767bd4698d9d1e979c72bfa80cd8104f28ce309f71181f2e8b529a2e4f
d079ceb8e08a8f7a53482fa2f209a77ff3ac6e94693e994048547d8dd2b3df0e,4995ffe6165a96e0acd7324d989521aef6c2eae3cb085db5ec8d0cc65b4ff938,18150,0000c21a5367dbee51c6186884cf6b795c3bc06ed2885afbe574c621c77d44ed
d8adf11c40d72892e819a0dc07757c511659e934f042356b8a5cf64558eeab8f,94b37a02820b57e51551931d1ee421c2694bfeb54e4f7cb7d523e3cb9a0ad45f,43667,00008bb302c49d6f763542c1c83af3695d9d8550140dd97d53d5ab539114053c
b8a522007744282c53df5599c9fea69dc5c72b0f208824cb8c5f501dac044858,971f0588300e7b4e725aa70d8f885f95e8d76e1bf524b9042c3e1d6ea2041d8c,6786,0000e178ca0e463456be126f9726717bf3177c93bb98e6de956c2448723fd4ae
e3385d34e0cd1970dc26f154cace6167f4c6966c905ffb24b1d1f6ed20fdd214,caa9fd140ae0673bf46b5b79ecad05aabf5d13ef51997c68a72ce8baf855eeef,16269,0000207040c582b6655bfe0bbda4828c77629926f06a6c05a114e83aa57ab56d
4f84b9a59cc40c33bb199a7993097e3086fb3a3c8527afaf3e61f61db5d8553f,d6645b4e5daff47336f7659270308472d0d5b15b69c7d0b9fd76a6f69f6a0dcc,63556,00008767bef91af20cbb52abb6caf8694429bacefa2fb986707e1949349478f3
0cf00818172326f51301653dfd14c724d5ef4e96ed533fbf77e48c6b7265389c,6cb2a0e83fd0c4a50f862884706b54f66b71ee31da4a80d88b20d1178486bc6c,99822,00000530fe469098891af61dfe64adb20ce9de01efa44047e6908bb94f6d7020
f991aff8d3ccf7b26eef98352c21a97ba517627c8be279d518ec84316e93c42f,5805bcead65a3f2f9db3198971f3e60618640064b7d1f9a438670215d4c929e7,102100,0000eacae457278ede68a5ccb04b0ed71d16c9d1d8e19ddc6344244e5b6d3645
b3556843e500f0bdd56da3bc3f23a8da068d00694e157a91e7bb742edf4251b9,523b0f62e7a3613dc5c5836ce22fdefccc825d43da8f36755e687ea4b1c42587,22805,00003df9be32192c103463173b1f38cdf44c873437a3396aa3109832d1cc9935
a91eab827aeaa325d5b161876d7cc2a81fb654a069fd9ff5b61f13b2ee6b6000,bf6f81439af5599d41e680f6c6c90d62b03be058147e2c03224356c509ce16bf,803,0000b98f62b9d9b66262a9377e7387aadfe7b3a795cd6165f9dd80f97ca74573
8fb87256b43b49c281d897bb09313e5cb59c68d7ae838c924c5023e8ee99ecfe,f530bd33747133995d6bffb52e79d82ff9aee62a1b766c676b39c4bc356db247,150907,0000d44586655b0a9b1097b7101b2fcd246c5c24b8a75ebdacdfc458c2a88d38
